22742922	2018-02-19	5	923
23995326	2014-01-18	5	2601
23995326	2015-09-18	5	153
24843697	2010-05-17	5	3994
24843697	2013-02-21	5	125
25667397	2012-11-04	5	588
25836396	2019-08-01	5	3763
27953468	2019-07-30	5	3949
32894464	2007-10-10	5	818
32894464	2007-11-02	5	89
34242358	2019-12-10	5	4505
38256324	2008-02-16	5	1622
38256324	2008-09-01	5	270
47685796	2011-09-16	5	3307
47685796	2012-03-09	5	386
47685796	2015-04-06	5	267
52378627	2016-09-08	5	2248
52378627	2018-11-16	5	163
52378627	2019-12-01	5	500
52728686	2020-10-30	5	1759
55376799	2009-11-05	5	837
55376799	2010-07-10	5	322
55376799	2020-03-12	5	471
55533262	2010-01-21	5	1730
56483939	2019-11-16	5	2264
56483939	2019-12-25	5	278
63325847	2008-01-04	5	1249
63325847	2009-02-01	5	267
68576388	2020-04-04	5	3629
77568493	2015-09-06	5	1191
77568493	2016-07-21	5	129
77783442	2017-02-26	5	1804
77783442	2019-04-10	5	169
78338956	2018-02-28	5	1090
78338956	2020-05-28	5	149
78434257	2018-01-07	5	4018
82232723	2019-12-12	5	1414
84772925	2020-05-20	5	3532
85923845	2011-11-25	5	3044
85923845	2012-11-16	5	143
85923845	2015-11-02	5	245
85923845	2017-05-27	5	327
87258666	2010-12-19	5	676
87258666	2013-08-25	5	91
87258666	2017-03-27	5	234
95545567	2019-04-05	5	4748
95545567	2019-12-12	5	260
22742922	2019-01-23	4	-81
22742922	2020-09-22	4	-366
24843697	2010-08-05	4	-346
24843697	2017-01-27	4	-299
25667397	2013-01-18	4	-131
25667397	2013-11-01	4	-463
25836396	2020-07-05	4	-141
38256324	2008-03-29	4	-494
47685796	2017-09-28	4	-75
52728686	2020-12-05	4	-256
55533262	2012-07-08	4	-282
56483939	2020-08-08	4	-297
63325847	2010-11-29	4	-279
68576388	2020-12-03	4	-263
77783442	2017-04-15	4	-206
77783442	2020-06-04	4	-267
78434257	2018-04-13	4	-24
78434257	2018-10-06	4	-364
78434257	2019-12-23	4	-140
82232723	2020-08-28	4	-228
87258666	2011-02-16	4	-492
87258666	2011-10-20	4	-328
95545567	2019-05-28	4	-303
22742922	2020-11-22	3	-1250
23995326	2014-04-10	3	-405
25667397	2016-03-15	3	-97
27953468	2019-10-07	3	-273
32894464	2018-07-25	3	-342
38256324	2014-01-29	3	-42
38256324	2016-12-20	3	-8
38256324	2019-01-02	3	-82
47685796	2011-11-01	3	-323
47685796	2020-08-23	3	-113
52378627	2016-10-28	3	-186
52728686	2020-12-07	3	-2370
63325847	2013-11-06	3	-39
63325847	2014-05-13	3	-804
68576388	2020-06-24	3	-114
77568493	2017-06-15	3	-500
77783442	2018-01-13	3	-119
82232723	2020-01-21	3	-402
85923845	2014-07-20	3	-170
85923845	2020-02-09	3	-494
85923845	2020-05-11	3	-3179
22742922	2018-03-28	2	380
23995326	2014-04-12	2	114
24843697	2010-08-18	2	175
24843697	2012-09-05	2	268
25667397	2014-06-14	2	90
25667397	2019-04-15	2	387
25836396	2019-09-27	2	26
32894464	2008-06-13	2	24
32894464	2009-11-01	2	66
32894464	2016-01-17	2	311
38256324	2011-03-07	2	334
38256324	2020-07-14	2	200
47685796	2013-11-03	2	294
52378627	2017-07-17	2	358
55376799	2015-08-19	2	109
55376799	2018-03-30	2	85
55533262	2010-12-14	2	392
55533262	2016-03-05	2	269
55533262	2018-09-22	2	439
77568493	2015-11-16	2	377
77568493	2018-12-17	2	478
78338956	2018-12-30	2	325
84772925	2020-10-09	2	230
85923845	2012-01-13	2	84
87258666	2012-06-10	2	127
87258666	2019-03-18	2	256
23995326	2017-02-26	1	-428
23995326	2020-06-07	1	-57
24843697	2019-04-08	1	-119
27953468	2020-05-12	1	-145
32894464	2011-05-17	1	-415
32894464	2013-08-21	1	-159
32894464	2020-07-21	1	-50
34242358	2020-01-11	1	-409
34242358	2020-05-16	1	-373
38256324	2010-07-10	1	-411
38256324	2020-11-22	1	-50
55376799	2009-12-01	1	-364
55376799	2012-05-12	1	-132
55376799	2012-12-23	1	-53
55533262	2010-03-03	1	-344
55533262	2013-12-22	1	-183
55533262	2020-07-23	1	-30
63325847	2008-02-09	1	-325
63325847	2009-12-16	1	-69
78338956	2018-03-31	1	-255
84772925	2020-07-02	1	-40
