0.71,Very Good,G,2107
0.76,Ideal,H,3423
0.96,Premium,D,4388
0.73,Ideal,D,4134
0.5,Ideal,F,1282
0.32,Ideal,H,561
0.35,Very Good,H,706
0.7,Very Good,E,1964
0.3,Very Good,E,526
0.5,Good,E,1316
1.04,Ideal,G,6290
1.21,Ideal,G,5226
0.6,Very Good,G,1554
1.04,Premium,I,4368
0.52,Ideal,D,2217
0.76,Ideal,E,3003
1.2,Ideal,H,8275
0.72,Very Good,D,3001
0.5,Fair,F,994
1.51,Ideal,H,11540
1.16,Ideal,G,5078
0.73,Very Good,F,2445
0.59,Ideal,G,1258
0.83,Ideal,E,3837
1.06,Very Good,F,4995
0.9,Good,D,3755
0.34,Ideal,F,745
0.31,Ideal,F,840
0.31,Premium,I,408
0.3,Very Good,E,526
1.16,Premium,F,3787
0.31,Ideal,F,625
0.32,Premium,F,828
0.31,Premium,E,1012
0.53,Premium,E,984
0.32,Ideal,D,933
1.5,Very Good,H,8058
0.33,Ideal,E,852
0.3,Premium,F,506
0.9,Very Good,E,4092
0.34,Ideal,G,596
0.92,Good,D,3277
0.34,Ideal,E,805
0.31,Ideal,G,907
1.03,Ideal,F,4268
0.79,Very Good,D,2878
0.75,Very Good,E,2719
0.53,Premium,E,2331
0.9,Ideal,E,4788
0.34,Premium,E,745
0.23,Very Good,D,402
0.78,Premium,J,2022
0.27,Very Good,F,552
0.34,Premium,G,765
1.52,Very Good,G,11093
2.01,Good,E,15255
0.72,Ideal,D,3236
2.02,Very Good,H,17672
0.9,Good,H,3201
0.33,Ideal,D,631
0.55,Ideal,E,1857
0.9,Good,E,3218
0.55,Ideal,H,1686
0.32,Premium,H,936
0.72,Premium,D,2732
0.8,Ideal,F,3429
0.38,Premium,E,866
0.54,Ideal,G,1422
1.12,Ideal,I,6143
0.82,Premium,H,2939
0.76,Very Good,H,2557
0.32,Very Good,E,594
1.23,Premium,F,10844
0.31,Ideal,F,749
0.31,Good,F,779
1.05,Premium,G,6146
0.55,Very Good,D,1796
1.02,Premium,G,6169
1.05,Premium,E,5951
0.32,Premium,H,505
0.32,Very Good,G,720
0.31,Very Good,G,698
0.37,Ideal,H,603
0.36,Ideal,D,663
0.31,Premium,I,558
2.51,Premium,J,16427
0.71,Premium,G,2766
1.53,Very Good,H,7991
1.1,Very Good,H,4938
0.62,Fair,F,2088
1.2,Very Good,F,6085
0.9,Very Good,G,4269
0.72,Ideal,G,3502
1.23,Ideal,F,5163
0.24,Ideal,E,678
0.41,Very Good,F,904
0.53,Ideal,E,1676
1.24,Ideal,H,8069
1.01,Premium,G,4805
0.51,Very Good,E,1662
0.72,Ideal,G,3126
0.32,Ideal,H,620
0.51,Premium,G,1546
0.37,Ideal,H,552
1.05,Premium,I,2911
0.31,Very Good,F,754
1.0,Premium,J,4144
0.43,Very Good,D,716
0.43,Ideal,G,1093
0.38,Ideal,G,979
0.3,Ideal,E,710
1.11,Premium,G,6713
1.18,Premium,G,9537
1.01,Ideal,H,4977
1.29,Very Good,G,8684
0.31,Ideal,E,864
1.02,Ideal,G,4890
0.43,Very Good,G,729
1.03,Premium,G,6749
0.91,Ideal,J,3863
2.2,Ideal,I,13512
1.2,Premium,E,6742
0.36,Very Good,H,729
0.71,Good,E,1783
0.58,Ideal,I,1132
1.01,Good,E,4355
0.32,Premium,G,561
1.07,Very Good,J,5661
1.5,Fair,F,13853
1.18,Ideal,I,6661
1.01,Premium,G,5701
0.42,Ideal,G,1031
1.7,Ideal,H,13632
0.51,Premium,E,1177
1.0,Ideal,H,6133
0.58,Ideal,I,1279
0.41,Ideal,G,827
0.41,Very Good,F,1186
0.53,Very Good,G,1948
0.7,Ideal,E,3016
1.01,Good,H,3999
0.5,Ideal,E,1624
1.56,Good,J,6966
0.41,Premium,E,1153
1.64,Premium,F,12670
0.41,Ideal,F,1115
0.38,Ideal,F,865
0.31,Premium,I,698
1.02,Premium,H,5084
1.24,Ideal,F,6503
1.07,Ideal,G,7577
0.49,Premium,F,1072
0.51,Good,G,1590
0.31,Good,J,363
0.42,Ideal,D,938
0.32,Good,D,657
0.51,Ideal,D,1779
0.9,Very Good,I,3489
0.53,Ideal,H,1800
0.5,Premium,E,1581
0.3,Premium,D,911
0.9,Premium,F,3210
0.31,Ideal,D,571
1.02,Ideal,G,5055
0.55,Ideal,E,1609
0.7,Very Good,G,2293
1.76,Very Good,I,9898
0.29,Very Good,E,504
1.23,Premium,J,4986
0.3,Good,G,605
1.1,Premium,H,5652
1.01,Very Good,J,4295
0.56,Ideal,H,1941
0.31,Ideal,D,732
1.03,Premium,J,3957
0.78,Ideal,H,1909
1.2,Very Good,I,7080
0.3,Ideal,E,1013
0.3,Premium,I,473
0.3,Very Good,H,608
0.7,Ideal,H,2536
0.62,Ideal,H,1828
0.71,Ideal,G,3123
1.52,Very Good,I,7866
0.4,Very Good,F,882
0.37,Very Good,F,487
0.31,Ideal,E,660
0.86,Ideal,D,3284
1.13,Ideal,F,3366
1.05,Very Good,J,2789
0.32,Very Good,F,778
0.4,Very Good,J,828
0.45,Good,D,1149
0.3,Premium,E,526
0.8,Very Good,H,2670
1.22,Ideal,H,6727
0.75,Good,G,2115
1.07,Ideal,D,6587
0.34,Premium,H,995
0.38,Very Good,H,702
0.9,Very Good,H,4324
1.2,Premium,H,6666
1.56,Good,G,6246
0.54,Ideal,E,1939
1.05,Premium,F,4354
0.55,Ideal,F,1313
0.7,Ideal,E,2537
0.9,Good,I,3398
1.52,Good,H,10078
